pitcher,player_name,swings,actual_whiff_rate,expected_whiff_rate,stuff_plus,whiff_over_expected
656464,"Ginkel, Kevin",418,0.2727,0.2742,112.3,-0.0015
642121,"Sulser, Cole",394,0.2513,0.273,112.0,-0.0218
694037,"Palencia, Daniel",150,0.28,0.2727,111.9,0.0073
679358,"Orze, Eric",291,0.2096,0.2722,111.8,-0.0626
669199,"Bachar, Lake",515,0.2854,0.2716,111.6,0.0138
820862,"Fermin, José",365,0.2904,0.2705,111.3,0.0199
666200,"Luzardo, Jesús",1127,0.2964,0.2706,111.3,0.0257
682254,"Montgomery, Mason",436,0.3073,0.2702,111.2,0.0371
702056,"Yesavage, Trey",733,0.2838,0.2699,111.2,0.0139
695380,"Hoppe, Alex",251,0.2629,0.2702,111.2,-0.0072
690925,"Beeter, Clayton",274,0.2664,0.27,111.2,-0.0036
688158,"Morgan, David",199,0.3015,0.2699,111.1,0.0316
680755,"Fisher, Braydon",445,0.2427,0.2688,110.9,-0.0261
678022,"Perkins, Jack",705,0.2582,0.2686,110.8,-0.0104
686993,"Sterner, Justin",377,0.2759,0.2679,110.6,0.0079
518886,"Kimbrel, Craig",298,0.2383,0.2678,110.6,-0.0295
660604,"Rangel, Alan",245,0.2286,0.2679,110.6,-0.0393
690978,"Fulton, Dax",100,0.26,0.2679,110.6,-0.0079
703725,"Gastelum, Luis",147,0.3197,0.2674,110.5,0.0523
643410,"Leiter Jr., Mark",253,0.2925,0.2669,110.4,0.0256
687223,"Palmquist, Carson",150,0.2133,0.2668,110.3,-0.0535
519242,"Sale, Chris",1044,0.2711,0.2663,110.2,0.0048
666171,"Zeferjahn, Ryan",431,0.3039,0.2658,110.1,0.0382
670990,"Ramírez, Yohan",501,0.2595,0.2657,110.0,-0.0062
642397,"Soto, Gregory",396,0.2778,0.2657,110.0,0.0121
641401,"Brogdon, Connor",131,0.2366,0.2654,110.0,-0.0288
690953,"Abel, Mick",177,0.2486,0.2654,110.0,-0.0168
681217,"Silseth, Chase",401,0.3017,0.2652,109.9,0.0366
808963,"Sasaki, Roki",928,0.2694,0.2645,109.7,0.0049
684007,"Imanaga, Shota",1156,0.276,0.264,109.6,0.0119
681168,"Curvelo, Luis",101,0.1881,0.2633,109.4,-0.0752
681293,"Arrighetti, Spencer",629,0.2353,0.2632,109.4,-0.028
669622,"Bender, Anthony",216,0.2176,0.2627,109.2,-0.0451
666661,"Morillo, Juan",393,0.285,0.2625,109.2,0.0225
675911,"Strider, Spencer",321,0.2617,0.2621,109.1,-0.0004
657746,"Ryan, Joe",1047,0.2245,0.2622,109.1,-0.0378
684974,"Yoho, Craig",192,0.2604,0.2623,109.1,-0.0018
621053,"Ferguson, Tyler",128,0.2812,0.2619,109.0,0.0194
656848,"Petersen, Michael",445,0.2472,0.2619,109.0,-0.0147
673929,"Leasure, Jordan",162,0.2531,0.2609,108.8,-0.0078
622554,"Domínguez, Seranthony",380,0.2658,0.2606,108.7,0.0052
683618,"Henriquez, Edgardo",383,0.2768,0.2602,108.6,0.0166
595345,"Okert, Steven",477,0.2872,0.26,108.5,0.0272
641941,"Pagán, Emilio",251,0.247,0.2598,108.5,-0.0128
666974,"Cano, Yennier",298,0.2416,0.26,108.5,-0.0184
592332,"Gausman, Kevin",1211,0.2494,0.2598,108.5,-0.0105
642547,"Peralta, Freddy",1082,0.2403,0.2595,108.4,-0.0192
691946,"Klassen, George",186,0.3011,0.2594,108.4,0.0417
691587,"Pérez, Eury",1018,0.2701,0.2586,108.2,0.0115
805123,"Blubaugh, AJ",650,0.2554,0.2589,108.2,-0.0035
680694,"Bradish, Kyle",976,0.2336,0.2585,108.1,-0.0249
665660,"Alvarado, Elvis",352,0.2869,0.2584,108.1,0.0285
547973,"Chapman, Aroldis",355,0.2507,0.2585,108.1,-0.0078
684049,"Bidois, Brandan",159,0.327,0.2582,108.0,0.0688
656641,"Latz, Jacob",465,0.2667,0.2579,108.0,0.0088
671936,"Macko, Adam",184,0.288,0.2577,107.9,0.0303
572955,"Johnson, Pierce",289,0.2145,0.2575,107.8,-0.0429
695049,"Kerry, Brett",105,0.2286,0.2574,107.8,-0.0288
673513,"Matsui, Yuki",377,0.321,0.2574,107.8,0.0636
683175,"Phillips, Connor",219,0.242,0.2572,107.8,-0.0152
687064,"Young, Brandon",942,0.2166,0.2568,107.7,-0.0402
680916,"Aleman, Franco",148,0.25,0.2565,107.6,-0.0065
596133,"Weaver, Luke",374,0.2727,0.2562,107.5,0.0166
701542,"Warren, Will",914,0.2101,0.2557,107.4,-0.0456
665152,"Kremer, Dean",396,0.2576,0.2549,107.2,0.0027
680570,"Rodriguez, Grayson",534,0.2116,0.2551,107.2,-0.0435
689266,"Dodd, Dylan",336,0.244,0.2551,107.2,-0.0111
666142,"Ragans, Cole",290,0.2828,0.2551,107.2,0.0277
667297,"Nance, Tommy",354,0.2316,0.2541,107.0,-0.0225
669165,"Hurt, Kyle",337,0.3234,0.2536,106.8,0.0698
607455,"Banda, Anthony",273,0.2454,0.2536,106.8,-0.0082
676263,"Dreyer, Jack",395,0.2684,0.2519,106.4,0.0165
801403,"Dollander, Chase",357,0.2493,0.2521,106.4,-0.0028
686560,"Collyer, Gavin",165,0.2545,0.2515,106.3,0.003
668390,"Winn, Cole",381,0.2546,0.2516,106.3,0.003
664126,"Fairbanks, Pete",318,0.2893,0.2512,106.2,0.0381
676534,"Faucher, Calvin",394,0.2487,0.2508,106.1,-0.002
592773,"Stanek, Ryne",422,0.2559,0.2505,106.0,0.0054
660271,"Ohtani, Shohei",632,0.2848,0.2505,106.0,0.0343
686751,"Johnson, Seth",190,0.2526,0.2506,106.0,0.0021
669854,"Blanco, Ronel",197,0.2183,0.2506,106.0,-0.0324
677961,"Wilcox, Cole",226,0.2788,0.2502,105.9,0.0286
668881,"Greene, Hunter",242,0.2562,0.2501,105.9,0.0061
650911,"Sánchez, Cristopher",1227,0.304,0.2503,105.9,0.0537
663158,"Suarez, Robert",250,0.228,0.2501,105.9,-0.0221
696149,"Chandler, Bubba",991,0.2079,0.2498,105.8,-0.0419
605452,"Ross, Joe",110,0.2727,0.2498,105.8,0.023
690986,"Harrison, Kyle",812,0.2697,0.2493,105.7,0.0204
664208,"Maton, Phil",256,0.2227,0.2491,105.6,-0.0264
682989,"Mederos, Victor",180,0.2722,0.2485,105.5,0.0237
694973,"Skenes, Paul",1197,0.2623,0.2481,105.4,0.0142
671212,"Boyle, Joe",156,0.2244,0.2483,105.4,-0.0239
687239,"Peoples, Ben",128,0.2109,0.2479,105.3,-0.037
601713,"Pivetta, Nick",138,0.2391,0.2481,105.3,-0.0089
682120,"Herrin, Tim",334,0.3024,0.2476,105.2,0.0548
681402,"Varland, Gus",277,0.1949,0.2471,105.1,-0.0521
665795,"Cabrera, Edward",610,0.2426,0.2471,105.1,-0.0045
605447,"Romano, Jordan",193,0.285,0.247,105.1,0.0379
669302,"Gilbert, Logan",1178,0.2725,0.2465,104.9,0.0259
621074,"Rucker, Michael",209,0.2488,0.2464,104.9,0.0024
681870,"Sabrowski, Erik",283,0.3145,0.2459,104.8,0.0686
667755,"Soriano, José",1074,0.2784,0.2457,104.7,0.0327
676282,"Cantillo, Joey",973,0.298,0.2458,104.7,0.0522
676604,"Zuber, Tyler",208,0.2067,0.2453,104.6,-0.0386
678020,"Halvorsen, Seth",179,0.2235,0.2453,104.6,-0.0219
677053,"Nardi, Andrew",180,0.2778,0.2442,104.3,0.0336
688883,"Pallette, Peyton",175,0.2571,0.244,104.3,0.0132
605400,"Nola, Aaron",1085,0.2599,0.244,104.3,0.0159
694361,"Klein, Will",330,0.2152,0.2442,104.3,-0.0291
693433,"Woo, Bryan",1125,0.2178,0.2438,104.2,-0.026
571510,"Boyd, Matthew",651,0.2074,0.2439,104.2,-0.0366
677161,"Kelly, Zack",121,0.1901,0.2434,104.1,-0.0533
656288,"Canning, Griffin",568,0.2324,0.2434,104.1,-0.011
623465,"Phillips, Evan",109,0.1927,0.2434,104.1,-0.0508
805427,"Sommers, Drew",205,0.3122,0.2425,103.9,0.0697
699823,"Davis, Tyler",197,0.2081,0.2427,103.9,-0.0346
682842,"Uribe, Abner",328,0.2348,0.2425,103.9,-0.0077
690997,"McLean, Nolan",1035,0.2242,0.2426,103.9,-0.0185
683742,"Franco, Jose",155,0.1871,0.2419,103.7,-0.0548
571578,"Corbin, Patrick",667,0.1889,0.242,103.7,-0.0531
669373,"Skubal, Tarik",914,0.302,0.2416,103.6,0.0604
681895,"Sisk, Evan",307,0.2378,0.2413,103.6,-0.0035
676684,"Vest, Will",231,0.2338,0.2406,103.4,-0.0069
669456,"Bieber, Shane",353,0.204,0.2408,103.4,-0.0369
664299,"Javier, Cristian",336,0.2411,0.2407,103.4,0.0004
681035,"Scott, Christian",762,0.2454,0.2404,103.3,0.005
672282,"Detmers, Reid",1134,0.2619,0.2405,103.3,0.0214
682243,"Miller, Bryce",752,0.2194,0.2404,103.3,-0.021
660761,"Suarez, José",492,0.2561,0.2405,103.3,0.0156
552640,"Kittredge, Andrew",293,0.2116,0.2398,103.2,-0.0282
800048,"Messick, Parker",1113,0.2345,0.2401,103.2,-0.0056
677958,"Rocker, Kumar",970,0.2423,0.2399,103.2,0.0024
592662,"Ray, Robbie",1095,0.2247,0.2398,103.1,-0.0151
681676,"Fernandez, Ryan",111,0.3333,0.2396,103.1,0.0938
683004,"Leiter, Jack",668,0.241,0.2396,103.1,0.0014
666808,"Doval, Camilo",378,0.2354,0.2387,102.9,-0.0033
687562,"Bennett, Jake",596,0.2181,0.239,102.9,-0.0208
595014,"Treinen, Blake",176,0.2557,0.2384,102.8,0.0173
664076,"Cleavinger, Garrett",298,0.2651,0.2383,102.8,0.0268
696062,"Dotel, Wilber",228,0.2281,0.2384,102.8,-0.0103
669084,"Hall, DL",273,0.2527,0.2382,102.7,0.0145
621016,"Cuas, Jose",106,0.2547,0.2379,102.6,0.0168
663558,"Morán, Jovani",380,0.3053,0.2377,102.6,0.0676
680802,"Weiss, Ryan",235,0.2213,0.2376,102.6,-0.0163
640448,"Finnegan, Kyle",399,0.2431,0.2379,102.6,0.0052
605488,"Springs, Jeffrey",901,0.2098,0.2375,102.5,-0.0278
647336,"Soroka, Michael",721,0.1872,0.2374,102.5,-0.0502
605130,"Barlow, Scott",248,0.3226,0.2365,102.3,0.0861
813349,"Early, Connelly",714,0.2185,0.2366,102.3,-0.0181
680732,"Burke, Sean",1102,0.2314,0.2366,102.3,-0.0052
623149,"Sewald, Paul",340,0.2353,0.236,102.1,-0.0007
806188,"Gibson, Cade",287,0.1916,0.2358,102.1,-0.0441
685801,"Bigge, Hunter",138,0.2319,0.2353,102.0,-0.0035
668984,"Legumina, Casey",439,0.1913,0.2355,102.0,-0.0442
663878,"Pearson, Nate",222,0.2117,0.2355,102.0,-0.0238
664875,"Lawrence, Justin",275,0.2509,0.2354,102.0,0.0155
674370,"Bido, Osvaldo",145,0.2207,0.235,101.9,-0.0143
687209,"Maxwell, Zach",124,0.1371,0.2349,101.9,-0.0978
657756,"Seabold, Connor",225,0.16,0.235,101.9,-0.075
695549,"Jobe, Jackson",112,0.1786,0.2352,101.9,-0.0567
663969,"Phillips, Tyler",740,0.2473,0.2349,101.8,0.0124
668941,"Romero, JoJo",286,0.2028,0.2346,101.8,-0.0318
694918,"Tidwell, Blade",201,0.2488,0.2348,101.8,0.014
669438,"Englert, Mason",296,0.2331,0.2348,101.8,-0.0017
693855,"Seymour, Ian",773,0.2665,0.2349,101.8,0.0316
657424,"Gage, Matt",247,0.2065,0.2348,101.8,-0.0283
676775,"Winn, Keaton",291,0.2131,0.234,101.6,-0.0209
656240,"Blewett, Scott",139,0.2086,0.234,101.6,-0.0254
808967,"Yamamoto, Yoshinobu",1053,0.2279,0.234,101.6,-0.0061
682608,"Gray, Peyton",408,0.2353,0.2338,101.6,0.0015
666157,"Lodolo, Nick",566,0.2102,0.2338,101.5,-0.0235
680767,"Vodnik, Victor",357,0.2073,0.2338,101.5,-0.0265
694738,"Roupp, Landen",980,0.2357,0.2331,101.4,0.0026
700712,"Ureña, Walbert",875,0.2606,0.2333,101.4,0.0273
661563,"Gil, Luis",128,0.1328,0.2332,101.4,-0.1004
592779,"Stewart, Brock",111,0.2793,0.2332,101.4,0.0461
695611,"Jump, Gage",649,0.2373,0.2328,101.3,0.0045
677960,"Weathers, Ryan",987,0.2523,0.2328,101.3,0.0194
703615,"Cabrera, Jose",124,0.1774,0.233,101.3,-0.0556
670059,"Holderman, Colin",336,0.2768,0.2324,101.2,0.0444
669358,"Baz, Shane",1162,0.2031,0.2324,101.2,-0.0293
694346,"Gibson, Trey",254,0.2165,0.2323,101.1,-0.0157
680744,"Madden, Ty",294,0.2279,0.2321,101.1,-0.0042
670329,"Garcia, Rico",386,0.3057,0.2318,101.0,0.0739
682825,"Mey, Luis",142,0.3451,0.2316,101.0,0.1135
656550,"Holmes, Grant",894,0.2528,0.2317,101.0,0.0211
663855,"Hicks, Jordan",290,0.2379,0.2312,100.9,0.0067
702070,"Cameron, Noah",1065,0.2394,0.2313,100.9,0.0081
669923,"Kirby, George",1090,0.2073,0.2315,100.9,-0.0242
676760,"Marinaccio, Ron",491,0.224,0.2312,100.8,-0.0071
608337,"Giolito, Lucas",223,0.2332,0.2308,100.8,0.0024
628452,"Iglesias, Raisel",376,0.2686,0.2309,100.8,0.0377
607074,"Rodón, Carlos",427,0.2646,0.2308,100.7,0.0339
677955,"Hill, Jaden",238,0.2731,0.2305,100.7,0.0426
672782,"Gómez, Yoendrys",424,0.2311,0.2307,100.7,0.0004
668970,"Hollowell, Gavin",108,0.2685,0.2308,100.7,0.0378
681982,"Anderson, Grant",379,0.2322,0.2301,100.6,0.0021
681799,"Roberts, Ethan",190,0.2053,0.2304,100.6,-0.0251
665622,"Medina, Luis",424,0.2807,0.2298,100.5,0.0508
801139,"Tolle, Payton",994,0.2404,0.2296,100.4,0.0109
623474,"Herget, Jimmy",314,0.2548,0.2295,100.4,0.0252
687931,"Whisenhunt, Carson",261,0.2529,0.2296,100.4,0.0232
668820,"Kranick, Max",110,0.2455,0.2294,100.4,0.0161
621381,"Strahm, Matt",311,0.2026,0.2295,100.4,-0.0269
453286,"Scherzer, Max",423,0.1655,0.229,100.3,-0.0635
701519,"Adams, Travis",321,0.2492,0.2288,100.2,0.0204
518876,"Kelly, Merrill",1012,0.1976,0.2288,100.2,-0.0311
669713,"Wesneski, Hayden",156,0.2564,0.2285,100.2,0.0279
656427,"Flaherty, Jack",730,0.2466,0.2282,100.1,0.0184
702021,"Dion, Will",228,0.25,0.2283,100.1,0.0217
676917,"Cavalli, Cade",1107,0.2358,0.2285,100.1,0.0073
681810,"Warren, Austin",271,0.2546,0.2283,100.1,0.0263
699134,"Rodriguez, Bradgley",461,0.2625,0.2284,100.1,0.0341
607192,"Glasnow, Tyler",257,0.284,0.2281,100.0,0.056
688642,"Agnos, Zach",590,0.2017,0.2278,100.0,-0.0261
668873,"Kilian, Caleb",376,0.2553,0.2276,99.9,0.0277
472610,"García, Luis",138,0.1884,0.2272,99.8,-0.0388
681916,"Smith, Dylan",221,0.2579,0.2273,99.8,0.0306
677952,"Ashcraft, Braxton",1134,0.2372,0.2267,99.7,0.0105
605280,"Holmes, Clay",496,0.1774,0.2267,99.7,-0.0493
606996,"Hart, Kyle",357,0.2185,0.2267,99.7,-0.0082
656638,"Lange, Alex",428,0.2664,0.2266,99.6,0.0398
641816,"Mahle, Tyler",829,0.2111,0.2262,99.5,-0.0151
696519,"Natera Jr., Samy",219,0.3288,0.2257,99.4,0.1031
625643,"López, Reynaldo",557,0.2047,0.2256,99.4,-0.021
681347,"Burrows, Mike",769,0.2055,0.2252,99.3,-0.0198
702275,"Ritchie, JR",419,0.2053,0.2253,99.3,-0.0201
676962,"Brown, Ben",472,0.2458,0.2255,99.3,0.0203
663574,"Santillan, Tony",225,0.1822,0.2249,99.2,-0.0427
642232,"Yarbrough, Ryan",354,0.2119,0.2248,99.2,-0.0129
640455,"Manaea, Sean",937,0.2177,0.2251,99.2,-0.0074
543135,"Eovaldi, Nathan",1045,0.2842,0.2248,99.2,0.0594
642701,"Santana, Dennis",351,0.2279,0.2243,99.0,0.0036
696070,"Rojas, Kendry",224,0.2545,0.2242,99.0,0.0303
670167,"Schreiber, John",322,0.205,0.2241,99.0,-0.0191
687849,"Kent, Zak",129,0.2016,0.2235,98.8,-0.0219
594580,"Moll, Sam",409,0.2127,0.2234,98.8,-0.0107
689147,"Kerkering, Orion",388,0.2423,0.2231,98.7,0.0192
669432,"Rogers, Trevor",1071,0.2148,0.2229,98.6,-0.0081
687396,"Headrick, Brent",533,0.2908,0.2221,98.4,0.0687
695001,"Santa, Alimber",108,0.1759,0.2219,98.4,-0.0459
670036,"Festa, Matt",406,0.2414,0.2219,98.4,0.0195
806960,"Morales, Luis",151,0.1722,0.2218,98.4,-0.0497
674841,"Alvarez, Andrew",551,0.2432,0.2213,98.2,0.0219
669372,"Ginn, J.T.",916,0.2533,0.2212,98.2,0.0321
687570,"Prielipp, Connor",702,0.2123,0.2213,98.2,-0.0091
672335,"Pérez, Cionel",322,0.2298,0.2213,98.2,0.0085
674444,"Cruz, Steven",388,0.2526,0.2212,98.2,0.0314
693645,"Schlittler, Cam",1251,0.2614,0.2209,98.1,0.0405
476594,"Stock, Robert",153,0.2614,0.2205,98.0,0.0409
669387,"Mlodzinski, Carmen",799,0.1865,0.2205,98.0,-0.034
676617,"O'Brien, Riley",363,0.2507,0.2199,97.9,0.0308
686580,"Slaten, Justin",258,0.2364,0.2199,97.9,0.0165
543243,"Gray, Sonny",901,0.2098,0.2192,97.7,-0.0095
675512,"Melton, Troy",617,0.2399,0.2195,97.7,0.0204
622491,"Castillo, Luis",1060,0.2226,0.2181,97.4,0.0046
681517,"Leahy, Kyle",937,0.2006,0.2183,97.4,-0.0177
691725,"Painter, Andrew",705,0.2113,0.2182,97.4,-0.0069
663423,"Thornton, Trent",277,0.2022,0.2176,97.2,-0.0154
642100,"Speier, Gabe",256,0.2148,0.2173,97.2,-0.0025
471911,"Carrasco, Carlos",136,0.1691,0.2173,97.2,-0.0482
664285,"Valdez, Framber",1022,0.1869,0.2171,97.1,-0.0303
489446,"Yates, Kirby",308,0.276,0.2172,97.1,0.0588
622088,"Antone, Tejay",317,0.2397,0.2167,97.0,0.023
608718,"Suter, Brent",565,0.1982,0.2164,96.9,-0.0182
592866,"Williams, Trevor",132,0.2273,0.2161,96.9,0.0112
656876,"Rasmussen, Drew",1045,0.2287,0.2161,96.9,0.0126
664141,"Brubaker, JT",413,0.1768,0.2159,96.8,-0.0391
663556,"McClanahan, Shane",769,0.2484,0.2161,96.8,0.0323
693313,"Seymour, Carson",106,0.1981,0.2153,96.6,-0.0172
678906,"Teng, Kai-Wei",512,0.2461,0.2152,96.6,0.0309
605135,"Bassitt, Chris",529,0.1871,0.2147,96.5,-0.0275
676106,"Hancock, Emerson",1028,0.2091,0.2147,96.5,-0.0056
671737,"Bradley, Taj",1138,0.2311,0.2147,96.5,0.0164
702752,"Pintaro, Jonathan",135,0.2444,0.2143,96.4,0.0301
656271,"Burke, Brock",451,0.2572,0.2145,96.4,0.0427
641743,"Kay, Anthony",1003,0.2173,0.2144,96.4,0.003
694477,"Patrick, Chad",694,0.2378,0.2146,96.4,0.0232
573204,"Thielbar, Caleb",345,0.2464,0.2143,96.4,0.0321
621366,"Borucki, Ryan",188,0.266,0.2142,96.4,0.0517
641745,"Keller, Brad",239,0.205,0.2142,96.3,-0.0091
670062,"Garcia, Julian",200,0.295,0.214,96.3,0.081
676979,"Crochet, Garrett",252,0.2302,0.2141,96.3,0.0161
592791,"Taillon, Jameson",654,0.2462,0.2137,96.2,0.0325
593974,"Peralta, Wandy",503,0.1988,0.2137,96.2,-0.0149
607067,"Rea, Colin",947,0.1732,0.2136,96.2,-0.0405
689818,"Sandlin, David",184,0.2065,0.2132,96.1,-0.0067
622663,"Severino, Luis",516,0.1957,0.213,96.0,-0.0173
681867,"Criswell, Cooper",219,0.1918,0.2124,95.9,-0.0206
621237,"Alvarado, José",410,0.2659,0.2127,95.9,0.0531
686753,"Jameson, Drey",123,0.2846,0.2123,95.8,0.0722
668678,"Gallen, Zac",749,0.1829,0.2121,95.8,-0.0292
445276,"Jansen, Kenley",283,0.2544,0.2116,95.7,0.0428
675660,"Drohan, Shane",749,0.243,0.2117,95.7,0.0313
572143,"Smith, Burch",132,0.2045,0.2113,95.6,-0.0068
669194,"Nelson, Ryne",700,0.1657,0.2109,95.5,-0.0452
543037,"Cole, Gerrit",622,0.2074,0.2106,95.4,-0.0032
668964,"Myers, Tobias",369,0.1626,0.2105,95.4,-0.0479
664353,"Urquidy, José",127,0.2362,0.2104,95.3,0.0258
669371,"Henry, Cole",133,0.203,0.2103,95.3,-0.0073
669160,"May, Dustin",937,0.206,0.2102,95.3,-0.0042
682052,"Lopez, Jacob",725,0.2234,0.21,95.2,0.0134
669711,"Weissert, Greg",385,0.2052,0.2093,95.0,-0.0042
670245,"Watson, Ryan",466,0.2189,0.2092,95.0,0.0096
675848,"Mejia, Juan",461,0.2408,0.2088,94.9,0.032
573009,"Mantiply, Joe",128,0.1641,0.2089,94.9,-0.0448
669684,"Murphy, Chris",268,0.2687,0.2089,94.9,0.0597
621121,"McCullers Jr., Lance",330,0.2364,0.2083,94.8,0.0281
696270,"Johnson, Ryan",495,0.2182,0.2085,94.8,0.0097
696522,"Juenger, Hayden",122,0.1311,0.208,94.7,-0.0768
695239,"Ahlstrom, Robby",232,0.2457,0.2082,94.7,0.0375
689441,"Crow, Coleman",150,0.16,0.2078,94.6,-0.0478
686613,"Brown, Hunter",489,0.2495,0.2074,94.5,0.0421
663436,"Martin, Davis",970,0.2134,0.2073,94.5,0.0061
663554,"Mize, Casey",751,0.2344,0.2067,94.4,0.0276
663903,"Singer, Brady",958,0.2349,0.207,94.4,0.0279
664199,"Clarke, Taylor",384,0.1823,0.2067,94.4,-0.0244
650633,"King, Michael",1113,0.2246,0.2071,94.4,0.0176
669211,"Akin, Keegan",218,0.1697,0.2065,94.3,-0.0367
676428,"Hurter, Brant",153,0.1699,0.2066,94.3,-0.0366
683232,"Mears, Nick",149,0.1745,0.2063,94.2,-0.0318
669022,"Gore, MacKenzie",1169,0.2429,0.2063,94.2,0.0367
592155,"Booser, Cam",238,0.2521,0.2058,94.1,0.0463
676083,"Junk, Janson",719,0.1252,0.2059,94.1,-0.0807
805673,"Matthews, Zebby",729,0.1962,0.2057,94.1,-0.0095
656234,"Bird, Jake",254,0.248,0.2056,94.1,0.0424
579328,"Kikuchi, Yusei",274,0.2117,0.2054,94.0,0.0063
669461,"Liberatore, Matthew",985,0.2173,0.2056,94.0,0.0117
543056,"Coulombe, Danny",167,0.1557,0.2051,93.9,-0.0494
681151,"Murray, Jayden",147,0.2517,0.205,93.9,0.0467
663738,"Lynch IV, Daniel",369,0.2656,0.2045,93.8,0.061
669920,"Alexander, Jason",133,0.188,0.2047,93.8,-0.0167
694360,"Way, Beck",174,0.2356,0.2046,93.8,0.0311
621345,"Minter, A.J.",235,0.2043,0.2048,93.8,-0.0005
685299,"Gordon, Tanner",578,0.2007,0.2045,93.8,-0.0038
670950,"Richards, Trevor",435,0.2253,0.2045,93.8,0.0208
682995,"Barco, Hunter",134,0.1493,0.2044,93.7,-0.0552
607259,"Martinez, Nick",999,0.1612,0.2041,93.7,-0.0429
669330,"Wells, Tyler",485,0.2845,0.2042,93.7,0.0804
663978,"Paddack, Chris",503,0.1869,0.2035,93.5,-0.0166
673540,"Senga, Kodai",323,0.2105,0.2034,93.5,0.0072
